limit,sieve_count,sieve_time,verified,failed,verify_time,hybrid_time,fj32_time,has_fj32,speedup
1000,168,0.8948460998944938,168,0,0.0002590999938547611,0.8951051998883486,0.0007422002963721752,True,0.0008291766112684341
10000,1229,6.200000643730164e-05,1229,0,0.0013218000531196594,0.001383800059556961,0.009130400139838457,True,6.5980631210275105
100000,9592,0.0008466998115181923,9592,0,0.017900799866765738,0.01874749967828393,0.10051879985257983,True,5.361717646487828
1000000,78498,0.005938899703323841,78498,0,0.0963383000344038,0.10227719973772764,inf,True,
